id,lat,lon,name
24743098,49.1213475,-123.0653074,Deas Island Regional Park
24743119,49.1030362,-123.0781564,Ernie Burnett Park
24751611,49.0846192,-123.1222554,Wellington Point Park
24751645,49.0838771,-123.0995455,Port Guichon Park
24751676,49.0869167,-123.100426,Stevens Mini Park
24751766,49.0977277,-123.0743755,Bentley Drive Kiwanis Park
24751910,49.0964796,-123.0688969,Hawthorne Park
24751946,49.0852677,-123.0584824,Rotary Park
24752057,49.0889926,-123.0806172,Magee Park
24784192,49.1297673,-122.8994018,Cory Drive Park
24784415,49.1419277,-122.8973855,Gunderson Park
24801050,49.1509167,-122.9196799,Mackie Park
24801518,49.0905713,-123.1549427,Westham Island Park
24843786,49.1349896,-123.1046292,Kidd Neighbourhood School Park
24868327,49.1829401,-123.0865847,King George Park
24885829,49.2309388,-123.0852453,Memorial South Park
24925080,49.1466337,-122.9147306,McKitrick Park
24925140,49.1608309,-122.897009,Hellings Park
24926315,49.1556576,-122.9346209,Sunbury Park
24943214,49.169459,-122.9099274,Annieville Lions Park
24943217,49.1689344,-122.8996543,Delview Park
25863675,49.1449338,-123.1319781,Rideau Neighbourhood Park
26378677,49.2826331,-123.0943487,Oppenheimer Park
26731970,49.2870741,-122.9992267,Confederation Park
26732222,49.2891697,-123.0098361,McGill Park
28595288,49.2163287,-123.0072332,David Gray Park
28841984,49.2735078,-123.070529,Grandview Park
29161221,49.2433378,-123.1881025,Memorial West Park
30612723,49.2319631,-123.1769367,Malkin Park
30623927,49.2451644,-123.1754794,Balaclava Park
30637354,49.2821771,-123.1102272,Victory Square
30880343,49.247629,-123.0747487,Kingcrest Park
30881186,49.2476762,-123.0664513,Brewers Park
30881363,49.2359643,-123.067081,Jones Park
30882792,49.2276879,-123.0575812,Nanaimo Park
30909891,49.2474001,-123.0440686,Renfrew Ravine Park
30909911,49.2436705,-123.0475299,Slocan Park
30909983,49.2520385,-123.0429612,Renfrew Community Park
30984384,49.2149338,-123.0573173,Bobolink Park
31046052,49.2270336,-123.0443537,Killarney Park
31050898,49.27149,-122.9958671,Brentwood Park
31050944,49.2740904,-122.9892172,Beecher Park
31096076,49.2419561,-123.0092418,Wesburn Park
31128644,49.277759,-122.9755086,Kensington Park
31128830,49.2554044,-123.0512813,Beaconsfield Park
31129569,49.2687009,-122.9611151,Halifax Park
31129616,49.2636471,-122.9612968,Sperling Park
31132276,49.2701694,-123.1692121,Tatlow Park
31133006,49.2652511,-122.9508546,Montecito Park
31233509,49.2806738,-122.8772596,Seaview Park
31235598,49.2556321,-123.062168,John Hendry Park
31239202,49.2446759,-123.058608,General Brock Park
31240027,49.256387,-123.0313564,Falaise Park
31240050,49.2560804,-123.0168693,Broadview Park
31240059,49.2525971,-123.0181106,Avondale Park
31252408,49.2109302,-122.9979417,Gray Creek Ravine Park
31256960,49.2120614,-122.9103125,Sullivan Park
31257300,49.2197194,-122.9387611,Hilda Park
31258048,49.2155585,-122.9835664,Lewarne Park
31258482,49.2173025,-123.0823812,Ross Park
31258649,49.2155925,-123.0855436,Moberly Park
31310961,49.2525285,-122.9875624,Harwood Park
31331101,49.2312752,-122.9450361,Lakeview Park
31331113,49.2279647,-122.9519533,Malvern Park
31340696,49.2278357,-122.9785501,Kisbey Park
31340939,49.2260206,-122.9663982,Brantford School Park
31416448,49.2440951,-123.1569034,Prince of Wales Park
31532403,49.2242688,-122.9442487,Cafferky Park
31627013,49.3275257,-123.0917382,Mosquito Creek Park
31825874,49.1387632,-123.1530724,Steveston London School Park
31843606,49.1532326,-123.1277909,Palmer/Garden City Neighbourhood School Park
31877450,49.1537499,-123.1528098,Blundell Park
31902392,49.1265341,-123.177657,Steveston Community Park
32058013,49.1735884,-123.0970089,Richmond Nature Park
32589992,49.2235286,-122.9963427,Bonsor Park
32590079,49.2356563,-122.9767068,Deer Lake Park
32603954,49.2739179,-123.0992437,Thornton Park
32758329,49.21267,-123.0943036,George Park
32820485,49.2091939,-122.9800235,John Matthews Creek Ravine Park
33899832,49.2663655,-123.2037652,West Point Grey Park
35355359,49.1635847,-123.1661814,Thompson/Burnett Community Park
35355431,49.1716611,-123.1623652,
35568229,49.167446,-123.1507496,
35568963,49.1897564,-122.8147472,Hjorth Road Park
35894329,49.1738793,-123.0854391,Richmond Nature Park East
35894356,49.1678456,-123.1943595,Terra Nova Natural Area Park
35894358,49.172108,-123.1879096,Quilchena Park
35915291,49.1933021,-122.8175855,Whalley Reservoir Park
35915464,49.2008201,-122.8104965,Riverside Park
35915502,49.2031546,-122.8042426,Hummingbird Park
35915569,49.2038477,-122.8156082,Ellendale Park
36540899,49.271694,-123.0667006,Victoria Park
