id,latitude,longitude,price,minimum_nights,reviews_per_month,rate,num_bedroom,num_skytrain,num_bustop,num_restaurant,num_parks,num_market,dis_skytrain,dis_bustop,dis_restaurant,dis_parks,dis_market
38885972,49.28981,-123.13863,188,1,4.1,4.8,1,0,16,79,8,6,1441.36,53.69,50.22,251.77,120.31
38903582,49.27852,-123.12728,155,2,0.6,4.78,1,4,32,84,2,7,590.03,52.99,75.11,244.95,301.27
38925288,49.2611,-123.03897,309,1,0.49,4.5,4,2,20,5,0,0,428.28,99.66,422.21,605.05,1028.57
38952827,49.27589,-123.13115,183,31,0.22,5.0,1,1,27,43,3,3,687.34,83.07,116.93,102.59,74.21
38977330,49.24011,-123.04379,81,2,4.75,4.95,1,2,19,4,1,1,481.29,168.95,455.17,480.06,486.49
39050419,49.27162956148482,-123.18185610256084,175,30,1.21,4.58,5,0,7,4,5,1,4361.43,330.9,355.49,176.91,323.37
39058032,49.25874710083008,-123.06147003173828,153,2,3.47,4.92,1,2,8,2,1,0,653.54,375.8,456.67,350.06,895.24
39064873,49.28159,-123.10414,261,2,7.22,4.94,1,7,43,66,7,3,447.33,34.56,29.02,40.43,244.96
39079351,49.24918,-123.08086,125,2,0.12,5.0,2,0,16,18,2,3,1646.75,72.0,263.13,153.84,338.81
39101252,49.28562,-123.13893,86,30,0.11,3.33,1,0,19,33,5,2,1386.42,21.51,131.4,177.17,19.33
39137527,49.28,-123.10786,469,1,3.45,4.88,2,7,36,52,8,3,124.74,79.56,53.92,208.99,21.36
39154015,49.26041,-123.19682,175,4,1.42,4.94,2,0,9,0,1,0,5658.12,244.3,768.08,310.21,1144.9
39155745,49.21436,-123.0963,142,29,1.08,4.92,1,0,14,1,1,0,1590.48,383.6,495.12,237.37,1184.84
39161774,49.27796,-123.10749,399,3,2.35,4.82,3,8,25,23,7,1,207.41,49.14,156.06,177.53,224.64
39172904,49.27722,-123.08003,175,3,0.72,5.0,2,0,9,2,2,1,1268.24,83.66,324.73,439.18,228.62
39178893,49.27585,-123.11436,85,29,0.36,4.94,1,4,14,45,7,1,538.33,52.17,64.53,275.99,455.97
39179616,49.26871,-123.18393,179,14,0.55,5.0,1,0,13,6,4,2,4546.44,104.82,102.95,240.49,136.76
39228808,49.27393057794724,-123.07363901915846,144,2,0.8,4.91,1,1,15,37,2,3,985.32,259.49,276.06,74.77,306.66
39252205,49.26342,-123.07864,100,30,0.17,4.43,2,3,18,0,4,0,270.35,101.57,512.82,219.5,682.39
39253091,49.28007,-123.10742,459,2,0.85,4.97,2,8,38,54,8,3,156.2,75.28,34.86,178.72,54.14
39269360,49.27976,-123.08836,350,4,0.29,5.0,2,1,17,3,3,0,960.48,173.79,249.01,103.92,894.08
39277660,49.27893,-123.10833,169,3,0.56,4.76,1,8,33,33,9,3,88.16,35.03,80.5,203.33,112.69
39321923,49.27417,-123.11659,205,30,0.66,4.69,1,4,16,50,7,2,387.75,53.0,173.28,56.1,273.95
39340389,49.28151,-123.10367,210,30,1.07,4.96,1,7,40,68,7,3,471.79,26.63,52.42,75.24,224.79
